Ti S_Ti j F(Ti,S_Ti,j) 
0.910891 84.436691 92 0.000000
0.920792 158.075699 7 0.000000
0.930693 98.261383 94 0.000000
0.940594 121.982338 36 22.195456
0.950495 83.410980 96 0.000000
0.960396 148.594513 48 0.000000
0.970297 110.403778 19 10.394863
0.980198 71.719765 99 0.000000
0.990099 115.119835 7 0.000000
0.000000 100.000000 0 7.625976
0.009901 99.178406 1 7.734222
0.019802 96.532967 2 5.844065
0.029703 100.284607 3 8.380987
0.039604 102.378792 4 9.364402
0.049505 99.254837 5 6.946421
0.059406 100.130585 6 7.543204
0.069307 105.230782 7 11.637210
0.079208 95.859123 8 3.733421
0.089109 99.497635 9 6.355546
0.099010 101.856018 10 8.016213
0.108911 97.203026 11 4.029195
0.118812 87.286697 12 0.743091
0.128713 85.359917 13 0.416337
0.138614 106.073570 14 12.050835
0.148515 100.637444 15 5.365012
0.158416 89.109772 16 0.657135
0.168317 99.853371 17 4.672139
0.178218 92.741264 18 1.226390
0.188119 117.784683 9 6.350324
0.198020 112.464554 17 18.690237
0.207921 89.095070 21 0.597480
0.217822 115.362541 14 22.003284
0.227723 113.507423 16 19.621267
0.237624 112.345406 19 17.954597
0.247525 90.561142 25 0.308346
0.257426 85.128929 26 0.000000
0.267327 116.933510 14 23.535591
0.277228 119.824997 15 26.512201
0.287129 100.938927 29 2.377650
0.297030 104.501709 30 5.090464
0.306931 96.871582 31 0.557824
0.316832 99.960037 32 1.377170
0.326733 82.349503 33 0.000000
0.336634 92.914177 34 0.077842
0.346535 131.096268 11 37.937214
0.356436 106.646812 13 11.391717
0.366337 126.733673 21 33.056011
0.376238 105.990784 38 1.272709
0.386139 98.281395 39 0.000000
0.396040 87.825241 40 0.000000
0.405941 104.988892 41 0.000000
0.415842 109.350807 42 0.000000
0.425743 89.746040 43 0.000000
0.435644 86.070625 44 0.000000
0.445545 116.301620 14 21.479710
0.455446 82.966087 46 0.000000
0.465347 73.041878 47 0.000000
0.475248 122.377640 17 27.416662
0.485149 96.841263 49 0.000000
0.495050 76.657082 50 0.000000
0.504951 91.850121 33 0.000000
0.514852 109.874474 48 0.000000
