Ti S_Ti j F(Ti,S_Ti,j) 
0.267327 118.414368 16 24.841398
0.277228 116.096260 19 21.887693
0.287129 89.770996 29 0.090531
0.297030 81.076447 30 0.000000
0.306931 114.716988 14 20.825266
0.316832 129.494324 15 36.832993
0.326733 105.216583 33 4.377707
0.336634 99.784309 34 0.690633
0.346535 102.667389 35 1.506598
0.356436 94.683281 36 0.000000
0.366337 78.122139 37 0.000000
0.376238 92.003792 38 0.000000
0.386139 126.886200 11 33.224792
0.396040 112.677673 13 18.031242
0.405941 124.186035 21 30.006790
0.415842 107.531609 42 0.000000
0.425743 96.699532 43 0.000000
0.435644 84.757080 44 0.000000
0.445545 109.787148 45 0.000000
0.455446 114.858467 45 0.000000
0.465347 90.265198 47 0.000000
0.475248 89.264320 48 0.000000
0.485149 115.479004 14 20.403706
0.495050 82.463791 50 0.000000
0.504951 74.460709 51 0.000000
0.514852 123.499535 17 28.158150
0.524752 98.819809 53 0.000000
0.534653 75.389221 54 0.000000
0.544554 90.742462 37 0.000000
0.554455 115.652580 48 0.000000
0.564356 92.422508 57 0.000000
0.574257 120.921936 23 24.987314
0.584158 115.939735 45 0.000000
0.594059 113.133240 9 8.663343
0.603960 101.802574 58 0.000000
0.613861 146.407471 24 50.553715
0.623762 140.340363 15 44.324574
0.633663 62.736347 64 0.000000
0.643564 108.608696 64 0.000000
0.653465 90.572708 62 0.000000
0.663366 118.021812 35 19.274494
0.673267 85.953499 68 0.000000
0.683168 130.895096 36 34.102219
0.693069 101.117981 67 0.000000
0.702970 137.889313 34 41.167419
0.712871 107.487801 72 0.000000
0.722772 108.176765 50 0.000000
0.732673 120.218292 37 21.646053
0.742574 121.030403 43 0.000000
0.752475 137.495926 17 39.775299
0.762376 140.639908 42 0.000000
0.772277 115.914696 59 0.000000
0.782178 95.942680 78 0.000000
0.792079 147.892197 16 49.824780
0.801980 123.516266 19 25.525284
0.811881 97.785500 43 0.000000
0.821782 103.339050 72 0.000000
0.831683 96.349930 84 0.000000
0.841584 145.636627 52 0.000000
0.851485 102.353035 41 0.000000
0.861386 109.729973 85 0.000000
0.871287 107.461861 69 0.000000
0.881188 104.407677 25 6.451468
0.891089 134.224289 10 35.371777
0.900990 97.450310 91 0.000000
0.910891 90.556419 92 0.000000
0.920792 96.134956 93 0.000000
0.930693 123.787750 39 24.140949
0.940594 135.517075 5 0.000000
0.950495 84.818497 83 0.000000
0.960396 146.701431 46 0.000000
0.970297 126.328636 40 26.291639
0.980198 75.280701 99 0.000000
0.990099 143.039368 30 42.869671
0.009901 97.389397 1 6.170526
0.019802 102.242592 2 9.445744
0.029703 104.832626 3 9.696189
0.039604 103.530701 4 10.251043
0.049505 101.372299 5 8.623075
0.059406 102.798759 6 9.757041
0.069307 101.490250 7 8.703036
0.079208 99.364677 8 6.558931
0.089109 108.637344 7 12.007498
0.099010 97.197151 10 4.129475
0.108911 108.880569 11 15.765586
0.118812 110.308228 11 17.418621
0.128713 108.992783 13 15.718489
0.138614 121.662521 7 4.252676
0.148515 101.601723 15 6.931707
0.158416 114.923668 9 8.407837
0.168317 102.095757 17 6.191492
0.178218 107.577721 17 12.453660
0.188119 104.759422 19 8.894822
0.198020 122.767799 10 30.799114
0.207921 104.708054 21 7.846625
0.217822 128.517868 4 1.833418
0.227723 98.409218 23 2.486556
0.237624 114.450470 13 21.013220
0.247525 103.549362 23 6.712956
0.257426 117.776161 9 7.014421
0.267327 123.982864 13 31.123592
0.277228 90.196556 28 0.260352
0.287129 109.617531 29 10.919047
0.297030 105.141541 30 5.817664
0.306931 106.026344 31 6.244692
0.316832 99.095566 32 1.048418
0.326733 103.255737 33 2.400336
0.336634 89.989899 34 0.000000
0.346535 95.063499 35 0.076707
0.356436 96.010727 36 0.000000
0.366337 115.742310 23 20.606054
0.376238 103.220818 38 0.220085
0.386139 80.343971 39 0.000000
0.396040 106.661438 40 0.293735
0.405941 117.322815 37 18.709103
0.415842 124.633202 4 1.517117
0.425743 99.289825 42 0.000000
0.435644 95.979538 44 0.000000
0.445545 107.775566 45 0.000000
0.455446 95.151199 46 0.000000
0.465347 106.125839 43 0.000000
0.475248 149.372818 16 54.643414
0.485149 110.348549 10 15.017949
0.495050 90.775368 43 0.000000
0.504951 99.255310 49 0.000000
0.514852 107.838829 23 9.340755
0.524752 109.789192 16 13.268358
0.534653 85.968750 54 0.000000
0.544554 123.291039 9 3.261381
0.554455 103.958046 23 5.913820
0.564356 131.358582 16 35.986584
0.574257 144.761459 13 49.229771
0.584158 124.628227 17 28.915459
0.594059 107.582848 58 0.000000
0.603960 74.142181 61 0.000000
0.613861 89.696693 62 0.000000
0.623762 107.539070 63 0.000000
0.633663 109.217453 56 0.000000
0.643564 97.794701 65 0.000000
0.653465 91.213821 66 0.000000
0.663366 101.901711 67 0.000000
0.673267 88.892792 68 0.000000
0.683168 90.063362 69 0.000000
0.693069 110.268616 24 11.819941
0.702970 127.433937 14 30.685688
0.712871 70.949821 72 0.000000
0.722772 70.460907 73 0.000000
0.732673 102.751884 74 0.000000
0.742574 97.320831 56 0.000000
0.752475 117.977501 57 0.000000
0.762376 122.653969 39 23.486652
0.772277 136.048477 17 37.964539
0.782178 121.818169 23 23.736588
0.792079 148.800980 33 50.732792
0.801980 127.185303 41 0.000000
0.811881 103.165085 76 0.000000
0.821782 91.199341 66 0.000000
0.831683 125.516235 47 0.000000
0.841584 126.239738 21 27.788801
0.851485 77.912216 81 0.000000
0.861386 143.863251 12 45.252666
0.871287 117.942162 34 19.160009
0.881188 84.662849 89 0.000000
0.891089 116.375038 55 0.000000
0.900990 107.188278 58 0.000000
0.910891 92.283630 92 0.000000
0.920792 127.104095 12 27.721827
0.930693 114.148415 91 0.000000
0.940594 150.579803 17 50.779339
0.950495 126.106216 30 26.211805
0.960396 116.202095 93 0.000000
0.970297 146.624313 55 0.000000
0.980198 131.815338 29 31.666975
0.990099 123.513916 14 23.380880
0.009901 102.551903 1 8.526646
0.019802 100.926933 2 8.664207
0.029703 98.102440 3 6.561847
0.039604 104.336639 4 10.571578
0.049505 95.603821 5 4.400132
0.059406 100.950279 6 8.397009
0.069307 98.428688 7 5.604206
0.079208 108.771629 8 11.745878
0.089109 106.616142 9 13.545042
0.099010 86.430916 10 0.620209
0.108911 102.253578 11 8.190381
0.118812 103.960114 12 10.077912
0.128713 95.670555 13 2.555568
0.138614 92.494736 14 1.614012
0.148515 105.760002 14 11.655059
0.158416 98.058174 16 3.666776
0.168317 95.224754 17 2.202449
0.178218 99.123528 18 4.066293
0.188119 104.382660 19 8.151444
0.198020 105.093826 20 8.628546
0.207921 80.772736 21 0.000000
0.217822 87.341911 22 0.342261
0.227723 112.397705 8 8.714399
0.237624 90.319382 24 0.369576
0.247525 80.119522 25 0.000000
0.257426 132.039734 9 2.343850
0.267327 80.805275 27 0.000000
0.277228 121.496048 3 2.658013
0.287129 89.325073 29 0.075157
0.297030 83.276703 30 0.000000
0.306931 86.496117 31 0.000000
0.316832 112.818436 24 17.400898
0.326733 86.735558 33 0.000000
0.336634 102.243484 34 1.688415
0.346535 89.752197 35 0.000000
0.356436 114.895355 14 20.640417
0.366337 113.356422 36 13.642574
0.376238 129.838043 16 36.186268
0.386139 127.807022 17 34.015629
0.396040 109.015106 32 9.091153
0.405941 83.014236 41 0.000000
0.415842 93.181129 42 0.000000
0.425743 100.554085 43 0.000000
0.435644 87.987656 44 0.000000
0.445545 119.470764 14 24.923376
0.455446 130.974854 8 1.311358
0.465347 76.709320 47 0.000000
0.475248 143.932220 23 49.143440
0.485149 105.586800 49 0.000000
0.495050 95.601982 50 0.000000
0.504951 103.026337 47 0.000000
0.514852 119.049324 18 23.508289
0.524752 123.287697 22 27.819771
0.534653 89.547279 54 0.000000
0.544554 81.053513 55 0.000000
0.554455 128.420731 11 33.020424
0.564356 81.971588 57 0.000000
0.574257 140.794922 7 0.093344
0.584158 115.201866 32 16.970556
0.594059 108.217728 50 0.000000
0.603960 85.258766 61 0.000000
0.613861 104.926743 12 8.790095
0.623762 72.426453 63 0.000000
0.633663 103.058502 64 0.000000
0.643564 113.375671 42 0.000000
0.653465 111.985138 61 0.000000
0.663366 100.778702 63 0.000000
0.673267 139.288544 9 0.089242
0.683168 87.542641 69 0.000000
0.693069 100.472832 69 0.000000
0.702970 114.493729 53 0.000000
0.712871 106.889526 70 0.000000
0.722772 92.174164 73 0.000000
0.732673 108.535385 35 5.782477
0.742574 111.620438 9 8.338835
0.752475 77.761520 76 0.000000
0.762376 137.017090 10 39.078884
0.772277 108.488716 78 0.000000
0.782178 113.623550 77 0.000000
0.792079 93.503235 80 0.000000
0.801980 135.742905 46 0.000000
0.811881 106.581314 46 0.000000
0.821782 125.510468 8 0.500220
0.831683 88.710617 84 0.000000
0.841584 96.798714 85 0.000000
0.851485 137.330795 22 38.885704
0.861386 71.935951 87 0.000000
0.871287 129.317657 48 0.000000
0.881188 87.313637 89 0.000000
0.891089 97.144508 90 0.000000
0.900990 104.277382 54 0.000000
0.910891 117.532646 71 0.000000
0.920792 130.669174 31 31.282108
0.930693 114.215500 80 0.000000
0.940594 105.679344 72 0.000000
0.950495 108.431091 45 0.000000
0.960396 141.113907 26 41.244717
0.970297 126.539902 26 26.502344
0.980198 118.426987 55 0.000000
0.990099 131.748703 34 31.600193
0.009901 98.463860 1 6.812994
0.019802 101.628891 2 9.079490
0.029703 103.407784 3 9.756068
0.039604 94.252205 4 3.655128
0.049505 101.313118 5 8.603539
0.059406 99.908684 6 7.375799
0.069307 98.764130 7 5.896513
0.079208 105.094421 8 11.996291
0.089109 96.479996 9 3.976888
0.099010 100.981384 10 7.345732
0.108911 93.870026 11 2.142635
0.118812 95.792824 12 2.860088
0.128713 102.856194 13 8.440840
0.138614 98.635925 14 4.155952
0.148515 97.156090 15 3.385640
0.158416 93.582504 16 1.840484
0.168317 99.150230 17 4.100702
0.178218 112.069496 8 10.312468
0.188119 85.926086 19 0.133377
0.198020 87.689407 20 0.307664
0.207921 108.675613 21 12.731597
0.217822 107.517029 22 10.998229
0.227723 110.882614 21 15.523639
0.237624 87.199051 24 0.255256
0.247525 98.803879 25 2.196327
0.257426 98.093513 26 1.925526
0.267327 90.286522 27 0.290142
0.277228 118.344582 10 25.406769
0.287129 106.999992 29 7.889998
0.297030 96.513855 30 0.736553
0.306931 105.743057 25 8.004202
0.316832 97.046585 32 0.381382
0.326733 108.578384 33 8.130474
0.336634 108.386299 30 9.456266
0.346535 84.118668 35 0.000000
0.356436 91.703232 36 0.000000
0.366337 112.959595 25 16.751505
0.376238 94.637466 38 0.000000
0.386139 110.370255 34 10.210492
0.396040 119.396896 11 25.473249
0.405941 96.312675 41 0.000000
0.415842 109.230896 41 0.000000
0.425743 81.160400 43 0.000000
0.435644 78.326416 44 0.000000
0.445545 109.421265 40 2.831011
0.455446 122.401978 35 25.901394
0.465347 117.974129 32 21.312674
0.475248 88.275436 48 0.000000
0.485149 116.265259 16 21.117617
0.495050 106.027130 50 0.000000
0.504951 104.037231 51 0.000000
0.514852 104.275017 31 3.433254
0.524752 76.523232 53 0.000000
0.534653 84.343872 54 0.000000
0.544554 123.497017 8 2.481707
0.554455 88.964050 56 0.000000
0.564356 116.138687 49 0.000000
0.574257 93.624931 58 0.000000
0.584158 99.706787 58 0.000000
0.594059 106.185295 19 8.702971
0.603960 94.099419 61 0.000000
0.613861 78.190933 62 0.000000
0.623762 106.814270 63 0.000000
0.633663 92.441933 64 0.000000
0.643564 101.032211 51 0.000000
0.653465 150.464218 6 0.002532
0.663366 105.390541 53 0.000000
0.673267 94.017586 68 0.000000
0.683168 87.282097 69 0.000000
0.693069 91.065971 66 0.000000
0.702970 88.694939 71 0.000000
0.712871 103.200691 72 0.000000
0.722772 91.408127 73 0.000000
0.732673 139.262833 35 41.807678
0.742574 97.007721 75 0.000000
0.752475 134.289200 10 36.576889
0.762376 87.238731 77 0.000000
0.772277 96.993874 59 0.000000
0.782178 112.797165 70 0.000000
0.792079 101.590408 48 0.000000
0.801980 103.249649 81 0.000000
0.811881 105.541000 82 0.000000
0.821782 128.358856 45 0.000000
0.831683 116.248512 60 0.000000
0.841584 134.946625 21 36.488476
0.851485 142.155670 30 43.713425
0.861386 123.855865 16 25.250950
0.871287 98.225471 88 0.000000
0.881188 117.544212 7 0.666449
0.891089 106.984818 90 0.000000
0.900990 108.867485 80 0.000000
